,ask,bid,time,med
AUDJPY,82.821,82.815,2021-11-22 11:03:04.876578,82.818
,ask,bid,time,med
AUDJPY,82.818,82.813,2021-11-22 11:03:14.899151,82.8155
,ask,bid,time,med
AUDJPY,82.819,82.813,2021-11-22 11:03:23.065231,82.816
,ask,bid,time,med
AUDJPY,82.822,82.816,2021-11-22 11:03:30.552294,82.819
,ask,bid,time,med
AUDJPY,82.821,82.816,2021-11-22 11:03:36.995721,82.8185
,ask,bid,time,med
AUDJPY,82.821,82.817,2021-11-22 11:03:43.163826,82.81899999999999
,ask,bid,time,med
AUDJPY,82.82,82.813,2021-11-22 11:03:48.695992,82.81649999999999
,ask,bid,time,med
AUDJPY,82.818,82.812,2021-11-22 11:03:57.286984,82.815
,ask,bid,time,med
AUDJPY,82.811,82.806,2021-11-22 11:04:05.986662,82.80850000000001
,ask,bid,time,med
AUDJPY,82.822,82.817,2021-11-22 11:04:12.156503,82.8195
,ask,bid,time,med
AUDJPY,82.826,82.82,2021-11-22 11:04:17.812086,82.823
,ask,bid,time,med
AUDJPY,82.821,82.817,2021-11-22 11:04:26.439166,82.81899999999999
,ask,bid,time,med
AUDJPY,82.82,82.816,2021-11-22 11:04:31.186581,82.818
,ask,bid,time,med
AUDJPY,82.817,82.813,2021-11-22 11:04:38.535429,82.815
,ask,bid,time,med
AUDJPY,82.819,82.815,2021-11-22 11:04:43.309548,82.81700000000001
,ask,bid,time,med
AUDJPY,82.822,82.817,2021-11-22 11:04:52.053978,82.8195
,ask,bid,time,med
AUDJPY,82.822,82.817,2021-11-22 11:04:59.156604,82.8195
,ask,bid,time,med
AUDJPY,82.823,82.818,2021-11-22 11:05:04.897956,82.8205
,ask,bid,time,med
AUDJPY,82.83,82.823,2021-11-22 11:05:13.277785,82.8265
,ask,bid,time,med
AUDJPY,82.83,82.823,2021-11-22 11:05:17.840652,82.8265
,ask,bid,time,med
AUDJPY,82.829,82.823,2021-11-22 11:05:27.596779,82.826
,ask,bid,time,med
AUDJPY,82.832,82.828,2021-11-22 11:05:31.080710,82.83
,ask,bid,time,med
AUDJPY,82.831,82.825,2021-11-22 11:05:39.337778,82.828
,ask,bid,time,med
